"season","week","offense_team","games_played","total_plays","pass_plays","run_plays","pass_rate","avg_yards_per_play","avg_yards_per_pass","avg_yards_per_run","avg_epa_per_play","avg_epa_pass","avg_epa_run","success_rate","explosive_play_rate","stuff_rate","sack_rate","turnovers_lost","turnover_rate","touchdowns","third_down_attempts","third_down_conversions","third_down_rate","red_zone_plays","red_zone_tds","red_zone_td_rate","two_min_plays","two_min_epa","plays_per_game","seconds_per_play","roll3_epa","roll3_success_rate","roll3_explosive_rate","roll3_third_down","roll3_red_zone_td","roll3_pace","composite_epa","epa_rank","pass_epa_rank","run_epa_rank","success_rank","third_down_rank","red_zone_rank"
2025,7,"CIN",1,69,49,20,0.710144927536232,6.97101449275362,6.69387755102041,7.65,0.329444764881155,0.309062419556418,0.37938151092676,0.507246376811594,0.115942028985507,0.289855072463768,0.0408163265306122,0,0,3,13,7,0.538461538461538,15,2,0.133333333333333,8,0.472761368276725,69,NA,0.0910325076523759,0.467519475809981,0.0850474963841059,0.443556443556444,0.244444444444444,62.3333333333333,0.337190056104555,2,2,1,1,2,2
2025,7,"PIT",1,54,34,20,0.62962962962963,7.33333333333333,7.32352941176471,7.35,0.364886814976301,0.391526820715037,0.319598805220448,0.5,0.12962962962963,0.259259259259259,0,2,0.037037037037037,4,10,7,0.7,11,3,0.272727272727273,7,-0.338586007594131,54,NA,0.215119070836432,0.496536796536797,0.137829542591447,0.455555555555556,0.299242424242424,52.6666666666667,0.362755614517202,1,1,2,2,1,1
