"player_id","player_name","team","opponent","is_home","recent_avg","season_avg","projected_rec_yards","weather_impact_score","is_dome","headshot","team_color","team_color2","team_logo","jersey","position","experience"
"00-0038606","P.Washington","JAX","LA",TRUE,26.3333333333333,38.75,31.93,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqgxayp6nrrpvwonksdm","#006778","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","11","WR",3
"00-0040170","E.Ayomanor","TEN","NE",TRUE,29.6666666666667,32.6666666666667,31.48,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aekfvt5nyl69emvxr2yj","#002244","#4B92DB","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","5","WR",0
"00-0040581","D.Thornton","LV","KC",FALSE,31.3333333333333,31.3333333333333,31.33,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hlxztd3lpjaxtzojuxwh","#000000","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png","10","WR",0
"00-0034844","S.Barkley","PHI","MIN",FALSE,32.6666666666667,26.2,30.08,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1","#004C54","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","26","RB",8
"00-0037741","J.Dotson","PHI","MIN",FALSE,30,30,30,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dbtou5ln1kwjutixywie","#004C54","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","2","WR",4
"00-0035208","O.Zaccheaus","CHI","NO",TRUE,29.6666666666667,28.6,29.82,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ucpai2odeunecbe6o1dj","#0B162A","#E64100","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","14","WR",7
"00-0039040","D.Achane","MIA","CLE",FALSE,24.6666666666667,37.2,29.68,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","#008E97","#F58220","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","28","RB",3
"00-0036139","R.Dowdle","CAR","NYJ",FALSE,29.3333333333333,29.3333333333333,29.33,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvnrzndsiaojvvxz8vo5","#0085CA","#000000","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","5","RB",6
"00-0040782","I.Bond","CLE","MIA",TRUE,32,23.6,29.21,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/piv889pkizjvgrtpfkxm","#FF3C00","#311D00","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","16","WR",0
"00-0038621","D.Douglas","NE","TEN",FALSE,31.6666666666667,23.25,28.3,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/almsm6nmovpasu8ts9u3","#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","3","WR",3
