"game_id","week","home_team","away_team","temp","wind","weather","has_weather","is_dome","is_cold","is_hot","is_windy","weather_impact_score"
"2025_03_DAL_CHI",3,"CHI","DAL",82,4,"Mostly Sunny Temp: 82° F, Humidity: 48%, Wind: SW 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_DEN_LAC",3,"LAC","DEN",NA,NA,"Cloudy Temp: 76° F, Humidity: 70%, Wind: SE 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_DET_BAL",3,"BAL","DET",74,7,"Clear Temp: 73° F, Humidity: 67%, Wind: SE 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_GB_CLE",3,"CLE","GB",79,10,"Cloudy Temp: 79° F, Humidity: 53%, Wind: S 10 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_HOU_JAX",3,"JAX","HOU",85,11,"Temp: 85° F, Humidity: 76%, Wind: NE 12 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_IND_TEN",3,"TEN","IND",84,8,"Cloudy Temp: 84° F, Humidity: 49%, Wind: SW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_KC_NYG",3,"NYG","KC",65,5,"Fair Temp: 65° F, Humidity: 56%, Wind: S 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_LA_PHI",3,"PHI","LA",73,9,"Sunny Temp: 73° F, Humidity: 47%, Wind: E 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_LV_WAS",3,"WAS","LV",72,6,"Temp: 72° F, Humidity: 72%, Wind: E 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_MIA_BUF",3,"BUF","MIA",68,7,"Partly cloudy Temp: 68° F, Humidity: 71%, Wind: SW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_NO_SEA",3,"SEA","NO",63,3,"Cloudy Temp: 63° F, Humidity: 84%, Wind: SE 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
