"season","week","defense_team","def_total_plays","def_avg_yards_per_play","def_avg_epa_per_play","def_success_rate_allowed","def_sacks","def_stuff_rate","def_turnovers_forced","def_turnover_rate","def_explosive_rate_allowed","def_third_down_stops","def_third_down_rate","def_red_zone_tds_allowed","def_red_zone_stops","def_red_zone_td_rate","def_roll3_epa","def_roll3_success_rate","def_roll3_third_down"
2025,1,"ARI",66,4.59090909090909,-0.0666417216534521,0.424242424242424,1,0.303030303030303,0,0,0.0454545454545455,9,0.642857142857143,1,7,0.125,NA,NA,NA
2025,2,"ARI",77,4.58441558441558,0.00313935622863502,0.467532467532468,3,0.376623376623377,2,0.025974025974026,0.0649350649350649,10,0.666666666666667,3,17,0.15,NA,NA,NA
2025,3,"ARI",58,6.01724137931035,-0.0291808726170097,0.53448275862069,1,0.327586206896552,1,0.0172413793103448,0.103448275862069,8,0.8,1,7,0.125,-0.0308944126806089,0.475419216798527,0.703174603174603
2025,4,"ARI",61,6.0983606557377,0.0892680009192146,0.426229508196721,3,0.344262295081967,0,0,0.147540983606557,7,0.538461538461538,2,6,0.25,0.0210754948436133,0.476081578116626,0.668376068376068
2025,5,"ARI",61,5.49180327868852,-0.04018438898961,0.442622950819672,2,0.377049180327869,2,0.0327868852459016,0.0983606557377049,9,0.642857142857143,2,2,0.5,0.00663424643753163,0.467778405879028,0.66043956043956
2025,6,"ARI",56,6.375,0.149323539894745,0.535714285714286,1,0.232142857142857,1,0.0178571428571429,0.142857142857143,4,0.5,4,9,0.307692307692308,0.0661357172747832,0.468188914910226,0.56043956043956
2025,1,"ATL",54,4.7962962962963,0.136877130401259,0.37037037037037,1,0.388888888888889,0,0,0.0925925925925926,7,0.5,1,1,0.5,NA,NA,NA
2025,2,"ATL",46,4.30434782608696,-0.450224687012216,0.41304347826087,6,0.41304347826087,3,0.0652173913043478,0.0652173913043478,7,0.636363636363636,0,4,0,NA,NA,NA
2025,3,"ATL",53,4.20754716981132,0.00789318307521337,0.490566037735849,1,0.245283018867925,0,0,0.0377358490566038,8,0.727272727272727,2,11,0.153846153846154,-0.101818124511915,0.424659962122363,0.621212121212121
2025,4,"ATL",50,5.92,0.166598205240948,0.5,2,0.32,1,0.02,0.08,7,0.875,1,6,0.142857142857143,-0.0919110995653516,0.467869838665573,0.746212121212121
2025,6,"ATL",54,5.38888888888889,-0.118884553370191,0.462962962962963,4,0.37037037037037,2,0.037037037037037,0.0740740740740741,7,0.777777777777778,2,2,0.5,0.0185356116486568,0.484509666899604,0.793350168350168
2025,1,"BAL",77,6.51948051948052,0.234986576382388,0.493506493506494,1,0.324675324675325,0,0,0.116883116883117,7,0.5,5,16,0.238095238095238,NA,NA,NA
2025,2,"BAL",72,4.47222222222222,-0.262947041339877,0.375,2,0.388888888888889,2,0.0277777777777778,0.0555555555555556,11,0.611111111111111,2,1,0.666666666666667,NA,NA,NA
2025,3,"BAL",64,6.1875,0.338273316107837,0.578125,0,0.234375,0,0,0.078125,7,0.5,4,13,0.235294117647059,0.103437617050116,0.482210497835498,0.537037037037037
2025,4,"BAL",66,5.75757575757576,0.264348588040379,0.454545454545455,1,0.242424242424242,0,0,0.0606060606060606,9,0.642857142857143,4,15,0.210526315789474,0.113224954269446,0.469223484848485,0.584656084656085
2025,5,"BAL",60,5.9,0.325243124661281,0.583333333333333,2,0.183333333333333,0,0,0.0833333333333333,5,0.454545454545455,4,8,0.333333333333333,0.309288342936499,0.538667929292929,0.532467532467532
2025,6,"BAL",49,4.95918367346939,-0.0331867793169627,0.469387755102041,2,0.326530612244898,1,0.0204081632653061,0.122448979591837,6,0.6,2,9,0.181818181818182,0.185468311128232,0.50242218099361,0.565800865800866
2025,1,"BUF",50,8.64,0.385698698548134,0.5,2,0.26,1,0.02,0.3,5,0.454545454545455,1,3,0.25,NA,NA,NA
2025,2,"BUF",46,3.04347826086957,-0.351179098270115,0.326086956521739,4,0.434782608695652,1,0.0217391304347826,0.0869565217391304,11,1,1,3,0.25,NA,NA,NA
2025,3,"BUF",59,4.67796610169492,0.0535421152017079,0.406779661016949,0,0.288135593220339,1,0.0169491525423729,0.0677966101694915,5,0.333333333333333,3,7,0.3,0.0293539051599089,0.410955539179563,0.595959595959596
2025,4,"BUF",63,4.49206349206349,-0.0293944741521661,0.428571428571429,3,0.26984126984127,0,0,0.111111111111111,6,0.545454545454545,2,12,0.142857142857143,-0.109010485740191,0.387146015370039,0.626262626262626
2025,5,"BUF",55,6.09090909090909,0.0367698728864048,0.454545454545455,4,0.345454545454545,1,0.0181818181818182,0.0909090909090909,6,0.666666666666667,2,9,0.181818181818182,0.0203058379786489,0.429965514711277,0.515151515151515
2025,6,"BUF",65,6.83076923076923,0.0667959427191861,0.476923076923077,2,0.353846153846154,0,0,0.153846153846154,7,0.583333333333333,1,8,0.111111111111111,0.0247237804844749,0.453346653346653,0.598484848484849
2025,1,"CAR",58,6.51724137931035,0.206104288636796,0.5,0,0.241379310344828,1,0.0172413793103448,0.120689655172414,7,0.583333333333333,2,9,0.181818181818182,NA,NA,NA
2025,2,"CAR",47,6.27659574468085,0.127011319699574,0.446808510638298,1,0.25531914893617,1,0.0212765957446809,0.0851063829787234,6,0.666666666666667,2,8,0.2,NA,NA,NA
2025,3,"CAR",65,5.10769230769231,-0.242306362820191,0.369230769230769,0,0.338461538461538,2,0.0307692307692308,0.0769230769230769,8,0.615384615384615,0,0,NA,0.0302697485053932,0.438679759956356,0.621794871794872
2025,4,"CAR",43,7.04651162790698,0.396699260389649,0.418604651162791,1,0.186046511627907,0,0,0.186046511627907,5,0.625,4,7,0.363636363636364,0.0938014057563441,0.411547977010619,0.635683760683761
2025,5,"CAR",53,4.67924528301887,0.095273431587789,0.358490566037736,3,0.39622641509434,0,0,0.0566037735849057,8,0.615384615384615,2,8,0.2,0.0832221097190824,0.382108662143765,0.618589743589744
2025,6,"CAR",52,5.63461538461539,0.179611804286581,0.403846153846154,0,0.346153846153846,0,0,0.0576923076923077,7,0.583333333333333,2,12,0.142857142857143,0.223861498754673,0.393647123682227,0.607905982905983
2025,1,"CHI",51,5.01960784313725,-0.176886315133175,0.411764705882353,3,0.313725490196078,1,0.0196078431372549,0.117647058823529,9,0.75,2,7,0.222222222222222,NA,NA,NA
2025,2,"CHI",58,8.81034482758621,0.409490237906714,0.551724137931034,0,0.172413793103448,0,0,0.172413793103448,6,0.6,6,10,0.375,NA,NA,NA
2025,3,"CHI",68,5.85294117647059,-0.0395221512504256,0.485294117647059,2,0.191176470588235,4,0.0588235294117647,0.0735294117647059,8,0.727272727272727,1,13,0.0714285714285714,0.0643605905077043,0.482927653820149,0.692424242424242
2025,4,"CHI",50,7.04,-0.182654464157968,0.54,0,0.3,4,0.08,0.18,6,0.75,2,7,0.222222222222222,0.0624378741661067,0.525672751859364,0.692424242424242
2025,6,"CHI",58,5.68965517241379,-0.0292835209425597,0.448275862068966,3,0.258620689655172,3,0.0517241379310345,0.103448275862069,5,0.625,1,1,0.5,-0.0838200454503178,0.491189993238675,0.700757575757576
2025,1,"CIN",70,4.5,-0.0762697131157449,0.385714285714286,2,0.342857142857143,2,0.0285714285714286,0.0428571428571429,7,0.4375,2,9,0.181818181818182,NA,NA,NA
2025,2,"CIN",68,5.80882352941176,0.0944758392265685,0.5,1,0.294117647058824,2,0.0294117647058824,0.0588235294117647,6,0.5,3,15,0.166666666666667,NA,NA,NA
2025,3,"CIN",52,6.13461538461539,0.18105909648897,0.538461538461538,3,0.230769230769231,0,0,0.134615384615385,7,0.636363636363636,4,7,0.363636363636364,0.066421740866598,0.474725274725275,0.524621212121212
2025,4,"CIN",74,6.85135135135135,0.239616195995335,0.513513513513513,0,0.216216216216216,1,0.0135135135135135,0.135135135135135,5,0.384615384615385,4,10,0.285714285714286,0.171717043903625,0.517325017325017,0.506993006993007
2025,5,"CIN",57,6.3859649122807,0.229853172576169,0.526315789473684,4,0.210526315789474,1,0.0175438596491228,0.087719298245614,5,0.714285714285714,5,9,0.357142857142857,0.216842821686825,0.526096947149579,0.578421578421578
2025,6,"CIN",59,6.93220338983051,0.208029896680662,0.576271186440678,1,0.220338983050847,1,0.0169491525423729,0.169491525423729,6,0.545454545454545,3,3,0.5,0.225833088417389,0.538700163142625,0.548118548118548
2025,7,"CIN",54,7.33333333333333,0.364886814976301,0.5,0,0.259259259259259,2,0.037037037037037,0.12962962962963,3,0.3,3,8,0.272727272727273,0.267589961411044,0.534195658638121,0.51991341991342
2025,1,"CLE",49,2.87755102040816,-0.108868147709173,0.408163265306122,3,0.36734693877551,0,0,0.0204081632653061,7,0.5,2,6,0.25,NA,NA,NA
2025,2,"CLE",49,4.79591836734694,0.0992771883837476,0.387755102040816,3,0.346938775510204,0,0,0.0612244897959184,8,0.727272727272727,2,7,0.222222222222222,NA,NA,NA
2025,3,"CLE",59,3.86440677966102,-0.0781918559753645,0.372881355932203,5,0.305084745762712,1,0.0169491525423729,0.0508474576271186,8,0.444444444444444,1,5,0.166666666666667,-0.0292609384335967,0.389599907759714,0.557239057239057
2025,4,"CLE",52,5.03846153846154,-0.150018478309198,0.384615384615385,0,0.346153846153846,1,0.0192307692307692,0.0961538461538462,8,0.571428571428571,3,6,0.333333333333333,-0.0429777153002716,0.381750614196135,0.581048581048581
2025,5,"CLE",58,6.05172413793103,0.130434715945429,0.5,3,0.258620689655172,1,0.0172413793103448,0.120689655172414,6,0.666666666666667,2,4,0.333333333333333,-0.0325918727797111,0.419165580182529,0.560846560846561
2025,6,"CLE",55,6.09090909090909,0.130154111870845,0.418181818181818,0,0.290909090909091,0,0,0.181818181818182,7,0.583333333333333,1,1,0.5,0.0368567831690255,0.434265734265734,0.607142857142857
2025,1,"DAL",59,5.16949152542373,0.160450145960309,0.508474576271186,1,0.203389830508475,0,0,0.101694915254237,4,0.333333333333333,3,5,0.375,NA,NA,NA
2025,2,"DAL",63,7.09523809523809,0.165431892265604,0.46031746031746,3,0.301587301587302,1,0.0158730158730159,0.126984126984127,8,0.615384615384615,1,13,0.0714285714285714,NA,NA,NA
2025,3,"DAL",54,7.11111111111111,0.291846800008811,0.481481481481481,0,0.296296296296296,0,0,0.12962962962963,6,0.428571428571429,2,9,0.181818181818182,0.205909612744908,0.483424506023376,0.459096459096459
2025,4,"DAL",75,6.26666666666667,0.316426580619641,0.546666666666667,1,0.253333333333333,1,0.0133333333333333,0.106666666666667,4,0.307692307692308,5,13,0.277777777777778,0.257901757631352,0.496155202821869,0.450549450549451
2025,5,"DAL",71,5.25352112676056,0.0209884846612355,0.492957746478873,5,0.28169014084507,1,0.0140845070422535,0.112676056338028,9,0.5625,2,12,0.142857142857143,0.209753955096562,0.507035298209007,0.432921245421245
2025,6,"DAL",61,6.77049180327869,0.282718423503993,0.590163934426229,1,0.163934426229508,0,0,0.147540983606557,5,0.625,2,6,0.25,0.20671116292829,0.543262782523923,0.498397435897436
2025,1,"DEN",54,2.46296296296296,-0.370563232575141,0.240740740740741,6,0.444444444444444,2,0.037037037037037,0.0185185185185185,12,0.857142857142857,0,6,0,NA,NA,NA
2025,2,"DEN",65,7.09230769230769,0.123371020905888,0.476923076923077,1,0.261538461538462,0,0,0.0923076923076923,7,0.538461538461538,2,16,0.111111111111111,NA,NA,NA
2025,3,"DEN",79,4.62025316455696,-0.0756317373497136,0.392405063291139,5,0.367088607594937,1,0.0126582278481013,0.0759493670886076,9,0.5625,2,10,0.166666666666667,-0.107607983006322,0.370022960318319,0.652701465201465
2025,4,"DEN",42,3.80952380952381,-0.256364863590504,0.357142857142857,3,0.380952380952381,0,0,0.0238095238095238,9,0.818181818181818,0,3,0,-0.0695418600114432,0.408823665785691,0.639714452214452
