"player_id","player_name","team","opponent","is_home","recent_avg","season_avg","opp_yards_allowed","projected_rush_yards","weather_impact_score","is_dome","headshot","team_color","team_color2","team_logo","jersey","position","experience"
"00-0039040","D.Achane","MIA","CLE",FALSE,81,65,81,60.43,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","#008E97","#F58220","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","28","RB",3
"00-0036919","K.Gainwell","PIT","CIN",FALSE,47,40,136.5,60.33,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f74x1ywy7oo5kq81vblh","#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","14","RB",5
"00-0038551","K.Miller","NO","CHI",FALSE,42.3333333333333,31,156.6,59.19,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jz3mpvifmldus3ipdvu1","#D3BC8D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/no.png","5","RB",3
"00-0039910","J.Daniels","WAS","DAL",FALSE,36.3333333333333,45,143.833333333333,57.25,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrdweg39v1ay4zoc0lgp","#5A1414","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","5","QB",2
"00-0037263","T.Allgeier","ATL","SF",FALSE,53,45.75,108.333333333333,54.27,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/buwaomfsz4y6orgb0cyg","#A71930","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","25","RB",4
"00-0033873","P.Mahomes","KC","LV",TRUE,53.6666666666667,54.5,95.8333333333333,53.3,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iireqbn32cpg9fn4sfy7","#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","15","QB",9
"00-0036389","J.Hurts","PHI","MIN",FALSE,38.6666666666667,39.6,132.8,51.85,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c47i9v6gmokkun9cat9s","#004C54","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","1","QB",6
"00-0038611","C.Rodriguez","WAS","DAL",FALSE,35,35,143.833333333333,50.34,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z5nbh1nza9je683o17h1","#5A1414","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","36","RB",3
"00-0039851","D.Maye","NE","TEN",FALSE,37,37,136,50.32,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1","#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","10","QB",2
"00-0040691","J.Dart","NYG","DEN",FALSE,56.3333333333333,56.3333333333333,89.3333333333333,50.32,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc","#0B2265","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","6","QB",0
